platform,year,depthmin,depthmax,Item,AvgMax,hardperc,hardmm,softperc,softmm,Remarks
D15-A,2015,0.0,-12.0,Rows and Elevations,A,16,21.0,81.0,22.0,
D15-A,2015,0.0,-12.0,Risers,A,40,34.0,57.0,11.0,
D15-A,2015,0.0,-12.0,Caissons,A,12,29.0,56.0,21.0,
D15-A,2015,0.0,-12.0,Conductors,A,6,30.0,94.0,18.0,
D15-A,2015,-12.0,-40.0,Rows and Elevations,A,0,0.0,88.0,44.0,
D15-A,2015,-12.0,-40.0,Risers,A,0,0.0,91.0,38.0,
D15-A,2015,-12.0,-40.0,Caissons,A,,,,,
D15-A,2015,-12.0,-40.0,Conductors,A,2,40.0,98.0,68.0,
D15-A,2015,0.0,-12.0,Rows and Elevations,M,50,30.0,100.0,30.0,
D15-A,2015,0.0,-12.0,Risers,M,100,40.0,100.0,20.0,
D15-A,2015,0.0,-12.0,Caissons,M,30,40.0,90.0,40.0,
D15-A,2015,0.0,-12.0,Conductors,M,30,30.0,100.0,20.0,
D15-A,2015,-12.0,-40.0,Rows and Elevations,M,0,0.0,100.0,60.0,
D15-A,2015,-12.0,-40.0,Risers,M,0,0.0,100.0,60.0,
D15-A,2015,-12.0,-40.0,Caissons,M,,,,,
D15-A,2015,-12.0,-40.0,Conductors,M,10,40.0,100.0,70.0,
D15-A,2015,3.0,-12.0,Row 1,A,0,0.0,100.0,30.0,
D15-A,2015,3.0,-12.0,Row 2,A,10,20.0,90.0,30.0,
D15-A,2015,3.0,-12.0,Row A,A,20,20.0,60.0,20.0,
D15-A,2015,3.0,-12.0,Row B,A,50,20.0,50.0,20.0,
D15-A,2015,3.0,-12.0,Row C,A,20,20.0,80.0,10.0,
D15-A,2015,-12.0,-40.0,Row 1,A,0,0.0,100.0,60.0,
D15-A,2015,-12.0,-40.0,Row 2,A,0,0.0,30.0,30.0,
D15-A,2015,-12.0,-40.0,Row A,A,0,0.0,100.0,40.0,
D15-A,2015,-12.0,-40.0,Row B,A,0,0.0,90.0,40.0,
D15-A,2015,-12.0,-40.0,Row C,A,0,0.0,100.0,30.0,
D15-A,2015,-8.0,-8.0,Level 1,A,5,30.0,95.0,20.0,
D15-A,2015,-8.0,-8.0,Conductors,A,5,30.0,95.0,20.0,
D15-A,2015,-24.0,-24.0,Level 2,A,0,0.0,100.0,60.0,
D15-A,2015,-24.0,-24.0,Conductors,A,0,0.0,100.0,60.0,
D15-A,2015,-40.0,-40.0,Level 3,A,0,0.0,80.0,20.0,
D15-A,2015,-40.0,-40.0,Conductors,A,,,,,
D15-A,2013,0.0,-12.0,Rows and Elevations,A,24,9.0,76.0,24.0,
D15-A,2013,0.0,-12.0,Risers,A,59,35.0,15.0,23.0,
D15-A,2013,0.0,-12.0,Caissons,A,20,19.0,80.0,20.0,
D15-A,2013,0.0,-12.0,Conductors,A,0,0.0,72.0,13.0,
D15-A,2013,-12.0,-40.0,Rows and Elevations,A,24,8.0,76.0,62.0,
D15-A,2013,-12.0,-40.0,Risers,A,35,21.0,41.0,36.0,
D15-A,2013,-12.0,-40.0,Caissons,A,,,,,
D15-A,2013,-12.0,-40.0,Conductors,A,2,10.0,100.0,40.0,
D15-A,2013,0.0,-12.0,Rows and Elevations,M,60,20.0,100.0,40.0,
D15-A,2013,0.0,-12.0,Risers,M,90,50.0,40.0,30.0,
D15-A,2013,0.0,-12.0,Caissons,M,20,20.0,80.0,20.0,
D15-A,2013,0.0,-12.0,Conductors,M,0,0.0,100.0,20.0,
D15-A,2013,-12.0,-40.0,Rows and Elevations,M,40,20.0,80.0,80.0,
D15-A,2013,-12.0,-40.0,Risers,M,80,50.0,100.0,40.0,
D15-A,2013,-12.0,-40.0,Caissons,M,,,,,
D15-A,2013,-12.0,-40.0,Conductors,M,10,10.0,100.0,40.0,
D15-A,2013,3.0,-8.0,Row 1,A,60,5.0,40.0,5.0,
D15-A,2013,3.0,-8.0,Row 2,A,20,20.0,80.0,20.0,
D15-A,2013,3.0,-8.0,Row A,A,0,0.0,100.0,40.0,
D15-A,2013,3.0,-8.0,Row B,A,20,5.0,80.0,5.0,
D15-A,2013,3.0,-8.0,Row C,A,10,20.0,90.0,30.0,
D15-A,2013,-8.0,-40.0,Row 1,A,40,5.0,60.0,40.0,
D15-A,2013,-8.0,-40.0,Row 2,A,20,20.0,80.0,80.0,
D15-A,2013,-8.0,-40.0,Row A,A,20,5.0,80.0,30.0,
D15-A,2013,-8.0,-40.0,Row B,A,20,5.0,80.0,80.0,
D15-A,2013,-8.0,-40.0,Row C,A,20,5.0,80.0,60.0,
D15-A,2013,-8.0,-8.0,Level 1,A,20,5.0,80.0,10.0,
D15-A,2013,-8.0,-8.0,Conductors,A,,,,,
D15-A,2013,-24.0,-24.0,Level 2,A,0,0.0,100.0,40.0,
D15-A,2013,-24.0,-24.0,Conductors,A,,,,,
D15-A,2013,-40.0,-40.0,Level 3,A,60,10.0,40.0,20.0,
D15-A,2013,-40.0,-40.0,Conductors,A,,,,,
D15-A,2012,3.0,-12.0,Rows and Elevations,A,40,27.0,60.0,14.0,
D15-A,2012,3.0,-12.0,Risers,A,55,15.0,80.0,15.0,
D15-A,2012,3.0,-12.0,Caissons,A,63,18.0,100.0,11.0,
D15-A,2012,3.0,-12.0,Conductors,A,75,26.0,99.0,21.0,
D15-A,2012,-12.0,-40.0,Rows and Elevations,A,27,6.0,73.0,24.0,
D15-A,2012,-12.0,-40.0,Risers,A,8,5.0,98.0,55.0,
D15-A,2012,-12.0,-40.0,Caissons,A,,,,,
D15-A,2012,-12.0,-40.0,Conductors,A,50,6.0,86.0,39.0,
D15-A,2012,3.0,-12.0,Rows and Elevations,M,80,40.0,90.0,20.0,
D15-A,2012,3.0,-12.0,Risers,M,100,20.0,100.0,50.0,
D15-A,2012,3.0,-12.0,Caissons,M,100,20.0,100.0,15.0,
D15-A,2012,3.0,-12.0,Conductors,M,100,40.0,100.0,40.0,
D15-A,2012,-12.0,-40.0,Rows and Elevations,M,50,10.0,90.0,30.0,
D15-A,2012,-12.0,-40.0,Risers,M,10,5.0,100.0,90.0,
D15-A,2012,-12.0,-40.0,Caissons,M,,,,,
D15-A,2012,-12.0,-40.0,Conductors,M,50,10.0,100.0,50.0,
D15-A,2012,3.0,0.0,Row 1,A,,,,,
D15-A,2012,3.0,0.0,Row 2,A,20,20.0,80.0,20.0,
D15-A,2012,3.0,0.0,Row A,A,50,10.0,50.0,10.0,
D15-A,2012,3.0,0.0,Row B,A,,,,,
D15-A,2012,3.0,0.0,Row C,A,,,,,
D15-A,2012,0.0,-8.0,Row 1,A,,,,,
D15-A,2012,0.0,-8.0,Row 2,A,10,20.0,90.0,10.0,
D15-A,2012,0.0,-8.0,Row A,A,80,40.0,20.0,20.0,
D15-A,2012,0.0,-8.0,Row B,A,,,,,
D15-A,2012,0.0,-8.0,Row C,A,,,,,
D15-A,2012,-8.0,-24.0,Row 1,A,,,,,
D15-A,2012,-8.0,-24.0,Row 2,A,50,5.0,50.0,20.0,
D15-A,2012,-8.0,-24.0,Row A,A,10,5.0,90.0,10.0,
D15-A,2012,-8.0,-24.0,Row B,A,,,,,
D15-A,2012,-8.0,-24.0,Row C,A,,,,,
D15-A,2012,-24.0,-40.0,Row 1,A,,,,,
D15-A,2012,-24.0,-40.0,Row 2,A,50,5.0,50.0,20.0,
D15-A,2012,-24.0,-40.0,Row A,A,10,5.0,90.0,30.0,
D15-A,2012,-24.0,-40.0,Row B,A,,,,,
D15-A,2012,-24.0,-40.0,Row C,A,,,,,
D15-A,2012,-8.0,-8.0,Level 1,A,,,,,
D15-A,2012,-8.0,-8.0,Conductors,A,,,,,
D15-A,2012,-24.0,-24.0,Level 2,A,20,10.0,80.0,30.0,
D15-A,2012,-24.0,-24.0,Conductors,A,20,10.0,80.0,30.0,
D15-A,2012,-40.0,-40.0,Level 3,A,,,,,
D15-A,2012,-40.0,-40.0,Conductors,A,,,,,
D15-A,2010,3.0,-12.0,Rows and Elevations,A,1,20.0,86.0,21.0,
D15-A,2010,3.0,-12.0,Risers,A,3,20.0,78.0,21.0,
D15-A,2010,3.0,-12.0,Caissons,A,3,23.0,89.0,18.0,
D15-A,2010,3.0,-12.0,Conductors,A,0,0.0,85.0,15.0,
D15-A,2010,-12.0,-40.0,Rows and Elevations,A,0,0.0,91.0,33.0,
D15-A,2010,-12.0,-40.0,Risers,A,0,0.0,95.0,36.0,
D15-A,2010,-12.0,-40.0,Caissons,A,0,0.0,90.0,23.0,
D15-A,2010,-12.0,-40.0,Conductors,A,3,10.0,95.0,30.0,
D15-A,2010,3.0,-12.0,Rows and Elevations,M,10,20.0,100.0,40.0,
D15-A,2010,3.0,-12.0,Risers,M,20,20.0,100.0,40.0,
D15-A,2010,3.0,-12.0,Caissons,M,20,30.0,100.0,30.0,
D15-A,2010,3.0,-12.0,Conductors,M,0,0.0,100.0,30.0,
D15-A,2010,-12.0,-40.0,Rows and Elevations,M,0,0.0,100.0,40.0,
D15-A,2010,-12.0,-40.0,Risers,M,0,0.0,100.0,40.0,
D15-A,2010,-12.0,-40.0,Caissons,M,0,0.0,90.0,30.0,
D15-A,2010,-12.0,-40.0,Conductors,M,10,10.0,100.0,40.0,
D15-A,2010,3.0,0.0,Row 1,A,0,0.0,70.0,10.0,
D15-A,2010,3.0,0.0,Row 2,A,0,0.0,90.0,10.0,
D15-A,2010,3.0,0.0,Row A,A,0,0.0,80.0,20.0,
D15-A,2010,3.0,0.0,Row B,A,10,20.0,80.0,10.0,
D15-A,2010,3.0,0.0,Row C,A,0,0.0,90.0,10.0,
D15-A,2010,0.0,-8.0,Row 1,A,0,0.0,90.0,10.0,
D15-A,2010,0.0,-8.0,Row 2,A,0,0.0,80.0,20.0,
D15-A,2010,0.0,-8.0,Row A,A,0,0.0,80.0,20.0,
D15-A,2010,0.0,-8.0,Row B,A,0,0.0,90.0,10.0,
D15-A,2010,0.0,-8.0,Row C,A,0,0.0,90.0,30.0,
D15-A,2010,-8.0,-24.0,Row 1,A,0,0.0,100.0,40.0,
D15-A,2010,-8.0,-24.0,Row 2,A,0,0.0,90.0,30.0,
D15-A,2010,-8.0,-24.0,Row A,A,0,0.0,90.0,30.0,
D15-A,2010,-8.0,-24.0,Row B,A,0,0.0,80.0,30.0,
D15-A,2010,-8.0,-24.0,Row C,A,0,0.0,100.0,40.0,
D15-A,2010,-24.0,-40.0,Row 1,A,0,0.0,80.0,30.0,
D15-A,2010,-24.0,-40.0,Row 2,A,0,0.0,80.0,30.0,
D15-A,2010,-24.0,-40.0,Row A,A,0,0.0,90.0,20.0,
D15-A,2010,-24.0,-40.0,Row B,A,0,0.0,100.0,40.0,
D15-A,2010,-24.0,-40.0,Row C,A,0,0.0,100.0,40.0,
D15-A,2010,-8.0,-8.0,Level 1,A,0,0.0,80.0,20.0,
D15-A,2010,-8.0,-8.0,Conductors,A,0,0.0,90.0,10.0,
D15-A,2010,-24.0,-24.0,Level 2,A,0,0.0,100.0,40.0,
D15-A,2010,-24.0,-24.0,Conductors,A,0,0.0,100.0,30.0,
D15-A,2010,-40.0,-40.0,Level 3,A,0,0.0,80.0,30.0,
D15-A,2010,-40.0,-40.0,Conductors,A,0,0.0,80.0,30.0,
D15-A,2005,3.0,-12.0,Rows and Elevations,A,9,24.0,90.0,15.0,
D15-A,2005,3.0,-12.0,Risers,A,43,15.0,48.0,18.0,
D15-A,2005,3.0,-12.0,Caissons,A,6,31.0,79.0,15.0,
D15-A,2005,3.0,-12.0,Conductors,A,4,20.0,88.0,10.0,
D15-A,2005,-12.0,-40.0,Rows and Elevations,A,0,20.0,100.0,74.0,
D15-A,2005,-12.0,-40.0,Risers,A,0,0.0,97.0,51.0,
D15-A,2005,-12.0,-40.0,Caissons,A,1,20.0,84.0,21.0,
D15-A,2005,-12.0,-40.0,Conductors,A,0,0.0,99.0,54.0,
D15-A,2005,3.0,-12.0,Rows and Elevations,M,20,30.0,100.0,50.0,
D15-A,2005,3.0,-12.0,Risers,M,100,40.0,90.0,50.0,
D15-A,2005,3.0,-12.0,Caissons,M,50,50.0,100.0,40.0,
D15-A,2005,3.0,-12.0,Conductors,M,10,20.0,100.0,10.0,
